gvkey,fs_month
1811,A-Dec
1813,A-Dec
1815,A-Jul
1817,A-Feb
1818,A-Dec
1819,A-Mar
1820,A-Jan
1821,A-Jan
1822,A-Dec
1823,A-Dec
1825,A-Dec
1826,A-Dec
1828,A-Dec
1829,A-Sep
1830,A-Dec
1832,A-Dec
1833,A-Dec
1834,A-Dec
1835,A-Dec
1836,A-Jun
1838,A-Dec
1840,A-Oct
1842,A-Dec
1843,A-Dec
1844,A-Jul
1845,A-Jul
1847,A-Dec
1848,A-Dec
1849,A-Dec
1850,A-Dec
1852,A-Jan
1855,A-Dec
1859,A-Sep
1860,A-Sep
1861,A-Dec
1862,A-Mar
1863,A-Jun
1865,A-Dec
1866,A-May
1869,A-Dec
1871,A-Dec
1872,A-Jun
1873,A-Jan
1874,A-Dec
1877,A-May
1878,A-Jan
1879,A-Dec
1880,A-Jan
1882,A-Dec
1883,A-Dec
1884,A-Dec
1885,A-Jul
1886,A-Dec
1888,A-Jun
1889,A-Feb
1891,A-Jun
1893,A-Dec
1894,A-Dec
1895,A-May
1896,A-Dec
1897,A-Dec
1899,A-Jun
1900,A-Dec
1901,A-Dec
1903,A-Dec
1904,A-Apr
1905,A-Dec
1906,A-Dec
1910,A-Dec
1915,A-Jun
1917,A-Dec
1919,A-Jun
1920,A-Dec
1921,A-Aug
1922,A-Dec
1923,A-Dec
1926,A-Feb
1927,A-Dec
1928,A-Dec
1929,A-Mar
1930,A-Mar
1933,A-Dec
1934,A-Sep
1935,A-Jun
1936,A-Dec
1937,A-Sep
1939,A-Jan
1940,A-Jun
1941,A-Dec
1942,A-Sep
1943,A-Dec
1945,A-Sep
1950,A-Dec
1952,A-Sep
1954,A-Sep
1955,A-Sep
1956,A-Dec
1957,A-Dec
1958,A-Mar
1960,A-Dec
1961,A-Dec
1962,A-Jul
1963,A-Dec
1964,A-May
1965,A-Dec
1966,A-Dec
1967,A-Jul
1968,A-Dec
1969,A-Dec
1970,A-Sep
1971,A-Dec
1972,A-Jan
1973,A-Dec
1974,A-Dec
1975,A-Dec
1977,A-Jan
1978,A-Apr
1979,A-Dec
1981,A-Dec
1982,A-Dec
1984,A-Nov
1985,A-May
1986,A-Dec
1988,A-Dec
1989,A-Sep
1990,A-Dec
1992,A-Dec
1993,A-Dec
1995,A-Dec
1998,A-Dec
1999,A-Dec
2000,A-Dec
2001,A-Dec
2002,A-Dec
2003,A-Dec
2004,A-Dec
2005,A-Dec
2007,A-Dec
2008,A-Dec
2010,A-Mar
2011,A-Dec
2012,A-Sep
2014,A-Dec
2015,A-Oct
2016,A-Dec
2017,A-Dec
2019,A-Dec
2021,A-Dec
2022,A-Dec
2024,A-Dec
2026,A-May
2029,A-Dec
2031,A-Dec
2032,A-Dec
2034,A-Dec
2035,A-Dec
2036,A-Aug
2039,A-Aug
2040,A-Dec
2042,A-Dec
2043,A-Jun
2044,A-Dec
2045,A-Oct
2046,A-Jun
2048,A-Jun
2049,A-Dec
2051,A-Dec
2052,A-Sep
2053,A-Mar
2055,A-Dec
2057,A-Dec
2058,A-Dec
2059,A-May
2060,A-Mar
2062,A-Dec
2063,A-Dec
2064,A-Oct
2065,A-Sep
2066,A-Jun
2067,A-Dec
2068,A-Apr
2071,A-Dec
2072,A-Dec
2073,A-Mar
2075,A-Dec
2076,A-Dec
2077,A-Jun
2078,A-Dec
2079,A-Dec
2080,A-Nov
2081,A-Dec
2083,A-Jul
2085,A-Dec
2086,A-Dec
2089,A-Dec
2090,A-Dec
2091,A-Oct
2092,A-Dec
2094,A-Jul
2095,A-Dec
2097,A-Dec
2098,A-Jan
2099,A-Jun
2100,A-Dec
2101,A-Jun
2102,A-Feb
2107,A-Dec
2110,A-Dec
2111,A-Sep
2112,A-Dec
2113,A-Aug
2114,A-Sep
2116,A-Sep
2117,A-Jul
2118,A-Apr
2119,A-Mar
2122,A-Dec
2123,A-Dec
2124,A-Dec
2125,A-Dec
2127,A-Oct
2128,A-Dec
2129,A-Dec
2130,A-Dec
2131,A-Dec
2135,A-Dec
2136,A-Dec
2137,A-Dec
2139,A-Dec
2141,A-Dec
2142,A-Dec
2146,A-Dec
2150,A-Dec
2151,A-Jan
2152,A-Sep
2153,A-Dec
2154,A-Dec
2155,A-Oct
2156,A-Dec
2158,A-Aug
2159,A-Dec
2161,A-Dec
2162,A-Dec
2163,A-Mar
2167,A-Mar
2168,A-Jun
2170,A-Dec
2171,A-Dec
2173,A-Dec
2175,A-Jun
2176,A-Dec
2179,A-Apr
2180,A-Dec
2181,A-Dec
2182,A-Dec
2186,A-Dec
2189,A-Dec
2190,A-Dec
2192,A-Mar
2193,A-Dec
2194,A-Dec
2196,A-Mar
2197,A-Dec
2198,A-Dec
2200,A-Jun
2201,A-Jan
2204,A-Dec
2205,A-Jun
2207,A-Dec
2208,A-Dec
2209,A-Dec
2212,A-Dec
2213,A-Dec
2216,A-Dec
2217,A-Dec
2218,A-Feb
2219,A-Mar
2220,A-Dec
2221,A-Dec
2222,A-Dec
2223,A-Sep
2224,A-Jun
2225,A-Mar
2226,A-Dec
2227,A-Dec
2230,A-May
2231,A-Mar
2235,A-Dec
2237,A-Dec
2238,A-Oct
2239,A-Dec
2240,A-Jul
2241,A-Dec
2242,A-Mar
2243,A-May
